Age,HourlyRate,Education,DistanceFromHome,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,DailyRate,MonthlyRate,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Gender_F,Gender_M,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Department_Human Resources,Department_Research & Development,Department_Sales,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,OverTime_No,OverTime_Yes
56,92,4,4,4,3,5,1,718,18575,19943,4,13,3,4,80,1,28,2,3,5,2,4,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
29,82,3,7,3,3,2,4,1329,4204,6623,1,11,3,2,80,2,6,2,3,6,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
36,73,4,1,2,3,2,3,884,21447,6815,6,13,3,1,80,0,15,5,3,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
34,39,4,13,4,3,3,3,1239,22914,8628,1,18,3,3,80,1,9,2,2,8,7,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
34,41,4,6,1,3,2,3,665,12482,4809,1,14,3,3,80,0,16,3,3,16,13,2,10,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0
50,43,2,7,2,2,5,3,989,16701,18740,5,12,3,4,80,1,29,2,2,27,3,13,8,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
38,81,3,2,3,3,2,2,903,7653,4855,4,11,3,1,80,2,7,2,3,5,2,1,4,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
30,64,3,1,2,2,2,1,740,5323,9714,1,11,3,4,80,1,10,4,3,10,8,6,7,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
44,88,3,5,2,3,5,2,1099,8751,18213,7,11,3,3,80,1,26,5,3,22,9,3,10,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
48,89,5,4,3,2,4,4,365,5602,15202,2,25,4,2,80,1,23,3,3,2,2,2,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
58,75,3,9,2,2,1,2,1145,11873,3346,4,20,4,2,80,1,9,3,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
29,61,3,2,4,3,2,3,746,16928,4649,1,14,3,1,80,1,4,3,2,4,3,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
34,74,4,21,4,4,2,4,258,19921,5337,1,12,3,4,80,0,10,3,3,10,7,5,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
27,87,5,8,1,1,1,3,1277,5869,4621,1,19,3,4,80,3,3,4,3,3,2,1,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
42,68,2,14,3,2,2,3,462,7824,6244,7,17,3,1,80,0,10,6,3,5,4,0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
41,75,3,22,4,3,2,4,1200,13953,5467,3,14,3,1,80,2,12,4,2,6,2,3,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
37,87,3,3,3,3,3,4,1189,14506,7428,2,12,3,1,80,0,12,3,3,5,3,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
25,32,1,4,4,3,1,4,1219,4605,3691,1,15,3,2,80,1,7,3,4,7,7,5,6,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
33,82,3,25,2,3,2,3,1146,4905,4539,1,12,3,1,80,1,10,3,2,10,7,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
32,87,4,6,2,3,2,3,1093,24301,5010,1,16,3,1,80,0,12,0,3,11,8,5,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
36,82,4,5,2,2,1,1,852,13072,3419,9,14,3,4,80,1,6,3,4,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
26,45,4,16,1,3,1,2,1449,14180,2373,2,13,3,4,80,1,5,2,3,3,2,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
40,80,3,15,1,2,3,3,884,25800,10435,1,13,3,4,80,2,18,2,3,18,15,14,12,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
39,82,3,22,4,3,3,1,945,5083,10880,1,13,3,3,80,0,21,2,3,21,6,2,8,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
48,35,4,1,1,4,4,4,1262,16154,16885,2,22,4,3,80,0,27,3,2,5,4,2,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
32,61,3,1,4,3,1,4,300,9148,2314,0,12,3,2,80,1,4,2,3,3,0,0,2,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
43,73,3,6,1,2,2,3,930,20003,4081,1,14,3,1,80,0,20,3,1,20,7,1,8,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
39,84,3,2,1,3,4,4,203,13547,12169,7,11,3,4,80,3,21,4,3,18,7,11,5,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
20,66,3,6,4,2,1,4,871,19783,2926,1,18,3,2,80,0,1,5,3,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
39,56,3,5,4,3,2,4,895,3335,2086,3,14,3,3,80,1,19,6,4,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
34,89,3,20,3,4,1,3,1320,21643,2585,0,17,3,4,80,0,2,5,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
38,75,4,2,1,4,2,1,240,26085,5980,6,12,3,4,80,0,17,2,3,15,7,4,12,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
28,81,4,2,2,3,2,2,760,3698,4779,1,20,4,1,80,0,8,2,3,8,7,7,5,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
28,32,3,17,3,2,1,4,1404,18779,2367,5,12,3,1,80,1,6,2,2,4,1,0,3,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
45,65,4,9,2,2,2,3,1050,17970,5593,1,13,3,4,80,1,15,2,3,15,10,4,12,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
26,52,3,1,3,2,2,1,1283,11148,4294,1,12,3,2,80,0,7,2,3,7,7,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
36,53,4,2,3,3,2,2,429,2323,5410,9,11,3,4,80,0,18,2,3,16,14,5,12,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
48,56,1,2,2,4,2,2,817,18597,8120,3,12,3,4,80,0,12,3,3,2,2,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
43,74,4,8,3,3,2,3,1473,2227,4522,4,14,3,4,80,0,8,3,3,5,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
31,86,2,10,3,3,2,4,1079,20115,6583,2,11,3,4,80,1,8,2,3,5,2,1,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
34,86,4,22,3,2,2,4,735,26496,5747,1,15,3,2,80,0,16,3,3,15,10,6,11,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
47,74,3,1,1,3,1,4,465,10205,3420,7,12,3,3,80,1,17,2,2,6,5,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0
34,86,3,29,2,3,2,3,285,17491,5429,4,13,3,1,80,2,10,1,3,8,7,7,7,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
35,97,3,2,4,3,1,4,890,9687,2014,1,13,3,1,80,0,2,3,3,2,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
38,54,3,29,4,3,2,4,1084,4185,6261,3,18,3,1,80,1,9,3,1,7,7,1,7,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
23,47,2,1,4,3,1,3,373,16901,1223,1,22,4,4,80,1,1,2,3,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
44,43,3,24,4,3,1,3,920,19920,3161,3,22,4,4,80,1,19,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
29,73,4,28,4,2,1,1,468,8489,3785,1,14,3,2,80,0,5,3,1,5,4,0,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
34,64,3,1,4,2,3,3,971,12288,7083,1,14,3,4,80,0,10,3,3,10,9,8,6,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
36,47,4,24,2,3,2,2,1105,6927,5674,7,15,3,3,80,1,11,3,3,9,8,0,8,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
55,37,1,8,4,2,4,2,177,25592,13577,1,15,3,4,80,1,34,3,3,33,9,15,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
43,94,2,14,2,3,4,1,589,5200,17159,6,24,4,3,80,1,22,3,3,4,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
32,38,2,2,4,3,2,3,1316,2338,4998,4,14,3,4,80,0,10,2,3,8,7,0,7,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1
32,79,4,10,4,3,2,4,1318,26075,4648,8,13,3,3,80,0,4,2,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
25,32,1,26,3,3,2,4,883,22807,6180,1,23,4,2,80,0,6,5,2,6,5,1,4,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
37,47,3,13,1,3,2,4,674,3031,4285,1,17,3,1,80,0,10,2,3,10,8,3,7,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
45,46,2,2,2,1,2,3,954,12388,6632,0,13,3,1,80,0,9,3,3,8,7,3,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
33,100,4,1,3,2,1,1,1198,3339,2799,3,11,3,2,80,0,6,1,3,3,2,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
31,62,3,4,1,4,1,3,471,16031,3978,8,12,3,2,80,1,4,0,2,2,2,2,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
26,45,2,29,1,3,2,3,775,4267,4306,5,12,3,1,80,2,8,5,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
46,98,2,26,2,2,2,2,849,25166,7991,8,15,3,3,80,0,6,3,3,2,2,2,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
29,45,1,23,4,2,3,1,408,11162,7336,1,13,3,1,80,1,11,3,1,11,8,3,10,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
21,96,2,15,3,3,1,4,391,19281,1232,1,14,3,4,80,0,0,6,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
52,57,1,2,1,1,5,4,266,25846,19845,1,15,3,4,80,1,33,3,3,32,14,6,9,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
37,83,2,1,3,2,1,1,1017,18697,3920,2,14,3,1,80,1,17,2,2,3,1,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
39,87,2,9,1,3,2,1,867,12315,5151,1,25,4,4,80,1,10,3,3,10,0,7,9,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
27,98,3,11,3,4,1,4,1291,6527,2534,8,14,3,2,80,1,5,4,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
36,68,1,14,3,3,2,4,1425,4821,6586,0,17,3,1,80,1,17,2,2,16,8,4,11,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
49,96,4,20,3,3,2,1,470,5549,6567,1,14,3,3,80,0,16,2,2,15,11,5,11,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
45,42,2,23,4,3,2,1,248,14039,3633,1,15,3,3,80,1,9,2,3,9,8,0,8,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
45,48,2,28,4,2,4,2,1005,17119,16704,1,11,3,3,80,0,21,2,3,21,6,8,6,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
34,43,4,10,4,3,1,3,878,5972,3815,1,17,3,4,80,1,5,4,4,5,3,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
35,44,2,16,4,2,2,2,219,25388,4788,0,11,3,4,80,0,4,2,3,3,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
33,99,3,2,2,3,1,3,147,8429,3600,1,13,3,4,80,1,5,2,3,5,4,1,4,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
32,32,4,4,4,1,3,4,1045,25812,10400,1,11,3,3,80,0,14,2,2,14,8,9,8,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
30,99,5,27,3,3,2,4,501,25275,5304,7,23,4,4,80,1,10,2,2,8,7,7,7,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0
34,46,3,9,4,2,3,2,1442,17654,8621,1,14,3,2,80,0,9,3,4,8,7,7,7,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
23,62,1,2,3,3,1,1,541,9518,2322,3,13,3,3,80,1,3,3,3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
